,Generation,100% HOF Coverage Count
0,0,2
1,1,3
2,2,3
3,3,6
4,4,7
5,5,7
6,6,5
7,7,6
8,8,6
9,9,7
10,10,8
11,11,8
12,12,8
13,13,9
14,14,9
15,15,9
16,16,9
17,17,9
18,18,10
19,19,10
20,20,10
21,21,10
22,22,10
23,23,10
24,24,10
25,25,11
26,26,11
27,27,11
28,28,11
29,29,10
30,30,10
31,31,10
32,32,10
33,33,10
34,34,10
35,35,10
36,36,10
37,37,10
38,38,10
39,39,10
40,40,10
41,41,10
42,42,10
43,43,10
44,44,10
45,45,10
46,46,10
47,47,11
48,48,11
49,49,11
50,50,11
51,51,11
52,52,11
53,53,11
54,54,12
55,55,12
56,56,12
57,57,12
58,58,11
59,59,11
60,60,11
61,61,11
62,62,11
63,63,11
64,64,11
65,65,11
66,66,11
67,67,11
68,68,11
69,69,13
70,70,13
71,71,11
72,72,11
73,73,12
74,74,12
75,75,12
76,76,12
77,77,12
78,78,12
79,79,12
80,80,12
81,81,12
82,82,12
83,83,12
84,84,12
85,85,12
86,86,12
87,87,12
88,88,12
89,89,12
90,90,13
91,91,11
92,92,11
93,93,11
94,94,11
95,95,11
96,96,11
97,97,11
98,98,11
99,99,11
100,100,11
